1000	1
2000	3
3000	9
4000	15
5000	23
6000	34
7000	46
8000	60
9000	76
10000	93
11000	114
12000	136
13000	160
14000	184
15000	212
16000	244
17000	271
18000	306
19000	339
20000	379
21000	416
22000	458
23000	500
24000	616
25000	614
26000	642
27000	685
28000	739
29000	794
30000	845
31000	900
32000	1058
33000	1031
34000	1099
35000	1153
36000	1218
37000	1287
38000	1370
39000	1433
40000	1506
41000	1599
42000	1674
43000	1796
44000	1835
45000	1904
46000	1995
47000	2078
48000	2193
49000	2264
50000	2360
51000	2439
52000	2541
53000	2659
54000	2755
55000	2856
56000	2942
57000	3069
58000	3172
59000	3278
60000	3399
61000	3524
62000	3629
63000	3734
64000	3867
65000	3979
66000	4098
67000	4240
68000	4366
69000	4483
70000	4618
71000	4743
72000	4875
73000	5006
74000	5136
75000	5295
76000	5460
77000	5603
78000	5743
79000	5852
80000	5993
81000	6154
82000	6417
83000	6493
84000	6653
85000	6812
86000	6936
87000	7127
88000	7285
89000	7456
90000	7604
91000	7804
92000	7999
93000	8113
94000	8324
95000	8580
96000	8728
97000	8848
98000	9027
99000	9220
100000	9418
